,fighter,salary,year
156,Frank Trigg,"$30,000 ",2010
157,John Salter,"$30,000 ",2010
158,Matt Brown,"$30,000 ",2010
159,Nate Quarry,"$30,000 ",2010
160,Nick Osipczak,"$30,000 ",2010
161,Rafaello Oliveira,"$30,000 ",2010
162,John Gunderson,"$29,000 ",2010
163,Igor Pokrajac,"$28,000 ",2010
164,Matt Wiman,"$28,000 ",2010
165,Rob Kimmons,"$27,000 ",2010
166,Brad Blackburn,"$26,000 ",2010
167,Jason MacDonald,"$26,000 ",2010
168,Mario Miranda,"$26,000 ",2010
169,Mike Guymon,"$26,000 ",2010
170,Kimbo Slice,"$25,000 ",2010
171,Ben Saunders,"$24,000 ",2010
172,Charlie Brenneman,"$24,000 ",2010
173,Claude Patrick,"$24,000 ",2010
174,Rousimar Palhares,"$21,000 ",2010
175,Aaron Riley,"$20,000 ",2010
176,Darren Elkins,"$20,000 ",2010
177,Seth Petruzelli,"$20,000 ",2010
178,TJ Grant,"$20,000 ",2010
179,Travis Browne,"$20,000 ",2010
180,Luiz Cane,"$19,000 ",2010
181,Alesander Gustafsson,"$18,000 ",2010
182,Cyrille Diabate,"$18,000 ",2010
183,Greg Soto,"$18,000 ",2010
184,Sean McCorkle,"$18,000 ",2010
185,Waylon Lowe,"$18,000 ",2010
186,Brad Tavares,"$16,000 ",2010
187,James McSweeney,"$16,000 ",2010
188,Jonathan Brookins,"$16,000 ",2010
189,Kris McCray,"$16,000 ",2010
190,Kyle Watson,"$16,000 ",2010
191,Ricardo Romero,"$16,000 ",2010
192,Yves Edwards,"$16,000 ",2010
193,Goran Reljic,"$15,000 ",2010
194,Rolles Gracie,"$15,000 ",2010
195,Jesse Lennox,"$14,000 ",2010
196,Nick Catone,"$14,000 ",2010
197,Tim Hague,"$14,000 ",2010
198,Tomasz Drwal,"$14,000 ",2010
199,Eric Shaefer,"$13,000 ",2010
200,David Loiseau,"$12,000 ",2010
201,Edson Barboza,"$12,000 ",2010
202,Fabio Maldonado,"$12,000 ",2010
203,Forrest Petz,"$12,000 ",2010
204,James Te-Huna,"$12,000 ",2010
205,Jesse Forbes,"$12,000 ",2010
206,Joe Doerksen,"$12,000 ",2010
207,John Makdessi,"$12,000 ",2010
208,Julio Paulino,"$12,000 ",2010
209,Maiquel Falcao,"$12,000 ",2010
210,Mark Holst,"$12,000 ",2010
211,Pat Audinwood,"$12,000 ",2010
212,Rafael Natal,"$12,000 ",2010
213,Rob Broughton,"$12,000 ",2010
214,Sean Pierson,"$12,000 ",2010
215,TJ Waldburger,"$12,000 ",2010
216,Pat Barry,"$11,000 ",2010
217,Chase Gormley,"$10,000 ",2010
218,Elliot Marshall,"$10,000 ",2010
219,Fabricio Camoes,"$10,000 ",2010
220,Ian Loveland,"$10,000 ",2010
221,Phillipe Nover,"$10,000 ",2010
222,Terry Etim,"$10,000 ",2010
223,Shannon Gugerty,"$9,000 ",2010
224,Aaron Wilkinson,"$8,000 ",2010
225,Alexandre Ferreira,"$8,000 ",2010
226,Carlos Eduardo Rocha,"$8,000 ",2010
227,Dong Yi Yang,"$8,000 ",2010
228,Gabe Ruediger,"$8,000 ",2010
229,James Hammortree,"$8,000 ",2010
230,Jamie Yager,"$8,000 ",2010
231,Josh Bryant,"$8,000 ",2010
232,Justin Bucholz,"$8,000 ",2010
233,Kyle Bradley,"$8,000 ",2010
234,Michael Johnson,"$8,000 ",2010
235,Peter Sobotta,"$8,000 ",2010
236,Ronys Torres,"$8,000 ",2010
237,Savo Chivitchian,"$8,000 ",2010
238,Seth Baczynski,"$8,000 ",2010
239,Todd Duffee,"$8,000 ",2010
240,Yoshiyuki Yoshida,"$8,000 ",2010
241,Jonathan Goulet,"$7,000 ",2010
242,Mustafa Al Turk,"$7,000 ",2010
243,Amilcar Alves,"$6,000 ",2010
244,Anthony Perosh,"$6,000 ",2010
245,Christian Morecraft,"$6,000 ",2010
246,Curt Warburton,"$6,000 ",2010
247,David Mitchell,"$6,000 ",2010
248,Jason High,"$6,000 ",2010
249,Jay Silva,"$6,000 ",2010
250,Jesse Bongfelt,"$6,000 ",2010
251,Lucio Linhares,"$6,000 ",2010
252,Mark Hunt,"$6,000 ",2010
253,Mike Lullo,"$6,000 ",2010
254,Rory Markham,"$6,000 ",2010
255,Steve Lopez,"$6,000 ",2010
256,Steve Steinbeiss,"$6,000 ",2010
257,Todd Brown,"$6,000 ",2010
258,Vinicius Queiroz,"$6,000 ",2010
259,Nicholas Pace,"$5,400 ",2010
260,Joe Brammer,"$5,000 ",2010
261,Matt Veach,"$5,000 ",2010
262,Ricardo Funch,"$5,000 ",2010
263,Fredson Paixao,"$4,000 ",2010
264,Will Campuzano,"$3,300 ",2010
265,T.J. O’Brien,"$3,000 ",2010
266,Tyler Toner,"$3,000 ",2010
267,Tito Ortiz,"$1,495,000 ",2011
268,Michael Bisping,"$810,000 ",2011
269,Jon Jones,"$785,000 ",2011
270,Antonio Rodrigo Nogueira,"$750,000 ",2011
271,Frank Mir,"$645,000 ",2011
272,Mauricio Rua,"$625,000 ",2011
273,Vitor Belfort,"$620,000 ",2011
274,Lyoto Machida,"$604,000 ",2011
275,Rampage Jackson,"$575,000 ",2011
276,Rashad Evans,"$515,000 ",2011
277,Donald Cerrone,"$494,000 ",2011
278,Junior dos Santos,"$485,000 ",2011
279,Anderson Silva,"$475,000 ",2011
280,Wanderlei Silva,"$470,000 ",2011
281,Cung Le,"$420,000 ",2011
282,Brock Lesnar,"$400,000 ",2011
283,Forrest Griffin,"$400,000 ",2011
284,Georges St-Pierre,"$400,000 ",2011
285,Alistair Overeem,"$385,714 ",2011
286,B.J. Penn,"$375,000 ",2011
287,Nate Diaz,"$356,000 ",2011
288,Frankie Edgar,"$345,000 ",2011
289,Cheick Kongo,"$330,000 ",2011
290,Dan Henderson,"$320,000 ",2011
291,Chris Lytle,"$310,000 ",2011
292,Clay Guida,"$301,000 ",2011
293,Urijah Faber,"$301,000 ",2011
294,Nick Diaz,"$275,000 ",2011
295,Diego Sanchez,"$270,000 ",2011
296,Johny Hendricks,"$270,000 ",2011
297,Randy Couture,"$250,000 ",2011
298,Martin Kampmann,"$247,000 ",2011
299,Antonio Rogerio Nogueira,"$230,000 ",2011
300,Jose Aldo,"$229,000 ",2011
301,Gleison Tibau,"$224,000 ",2011
302,Josh Koscheck,"$209,000 ",2011
303,Edson Barboza,"$206,000 ",2011
304,Ross Pearson,"$200,000 ",2011
305,Joe Lauzon,"$197,000 ",2011
306,Kenny Florian,"$195,000 ",2011
307,Ben Henderson,"$193,000 ",2011
308,Dong Hyun Kim,"$193,000 ",2011
309,Melvin Guillard,"$190,000 ",2011
310,Chris Leben,"$184,000 ",2011
311,Mark Munoz,"$184,000 ",2011
312,Brian Ebersole,"$181,000 ",2011
313,Brian Stann,"$181,000 ",2011
314,Brandon Vera,"$180,000 ",2011
315,Jake Ellenberger,"$175,000 ",2011
316,Michael McDonald,"$161,000 ",2011
317,Jeremy Stephens,"$160,000 ",2011
318,Dominick Cruz,"$155,000 ",2011
319,Matt Wiman,"$155,000 ",2011
320,Mark Hominick,"$151,000 ",2011
321,Chan Sung Jung,"$150,000 ",2011
322,Jake Shields,"$150,000 ",2011
323,Mirko Cro Cop,"$150,000 ",2011
324,Miguel Torres,"$146,800 ",2011
325,Anthony Johnson,"$145,000 ",2011
326,Pablo Garza,"$145,000 ",2011
327,Carlos Condit,"$143,000 ",2011
328,Gray Maynard,"$138,000 ",2011
329,Chris Weidman,"$130,000 ",2011
330,Demian Maia,"$129,000 ",2011
331,Stefan Struve,"$128,000 ",2011
332,Brian Bowles,"$127,000 ",2011
333,Danny Castillo,"$124,600 ",2011
334,Shane Roller,"$124,000 ",2011
335,Jon Fitch,"$120,000 ",2011
336,Tony Ferguson,"$116,000 ",2011
337,Dan Hardy,"$115,000 ",2011
338,Nam Phan,"$115,000 ",2011
339,Nik Lentz,"$114,000 ",2011
340,Yves Edwards,"$112,000 ",2011
341,Leonard Garcia,"$111,000 ",2011
342,Thiago Silva,"$110,000 ",2011
343,Sam Stout,"$108,000 ",2011
344,Anthony Njokuani,"$106,000 ",2011
345,Dave Herman,"$106,000 ",2011
346,Travis Browne,"$106,000 ",2011
347,Bart Palaszewski,"$103,500 ",2011
348,Mark Hunt,"$103,000 ",2011
349,Vladimir Matyushenko,"$102,000 ",2011
350,Ricardo Lamas,"$101,000 ",2011
351,Brendan Schaub,"$100,000 ",2011
352,Cain Velasquez,"$100,000 ",2011
353,Ed Herman,"$100,000 ",2011
354,Matt Hughes,"$100,000 ",2011
355,Takanori Gomi,"$100,000 ",2011
356,Dennis Siver,"$99,000 ",2011
357,Kyle Noke,"$99,000 ",2011
358,Thiago Alves,"$99,000 ",2011
359,Aaron Simpson,"$98,000 ",2011
360,Jim Miller,"$97,000 ",2011
361,Diego Brandao,"$96,000 ",2011
362,Renan Barao,"$96,000 ",2011
363,Erik Koch,"$94,000 ",2011
364,Joe Stevenson,"$94,000 ",2011
365,Paul Kelly,"$94,000 ",2011
366,Tyson Griffin,"$93,500 ",2011
367,Mike Brown,"$92,000 ",2011
368,Kyle Kingsbury,"$90,000 ",2011
369,Nate Marquardt,"$90,000 ",2011
370,Terry Etim,"$90,000 ",2011
371,Ryan Bader,"$88,000 ",2011
372,Jon Olav Einemo,"$85,000 ",2011
373,Jacob Volkmann,"$84,000 ",2011
374,Charles Oliveira,"$82,000 ",2011
375,Joseph Benavidez,"$82,000 ",2011
376,Mike Pierce,"$82,000 ",2011
377,Tim Boetsch,"$82,000 ",2011
378,TJ Waldburger,"$79,000 ",2011
379,Che Mills,"$78,000 ",2011
380,Jason MacDonald,"$78,000 ",2011
381,Alexander Gustafsson,"$76,000 ",2011
382,Brad Pickett,"$76,000 ",2011
383,Rich Franklin,"$75,000 ",2011
384,Mike Pyle,"$74,000 ",2011
385,Edwin Figueroa,"$73,000 ",2011
386,Jorge Santiago,"$72,000 ",2011
387,Rick Story,"$72,000 ",2011
388,Chael Sonnen,"$70,000 ",2011
389,DaMarques Johnson,"$70,000 ",2011
390,Stephan Bonnar,"$68,000 ",2011
391,Matt Riddle,"$67,000 ",2011
392,Matt Hamill,"$64,000 ",2011
393,Lance Benoist,"$63,000 ",2011
394,Scott Jorgensen,"$62,000 ",2011
395,Amir Sadollah,"$60,000 ",2011
396,Reuben Duran,"$58,000 ",2011
397,Luiz Cane,"$57,000 ",2011
398,Diego Nunes,"$56,000 ",2011
399,John Dodson,"$56,000 ",2011
400,Takeya Mizugaki,"$56,000 ",2011
401,Roy Nelson,"$55,000 ",2011
402,Raphael Assuncao,"$54,000 ",2011
403,Ben Rothwell,"$52,000 ",2011
404,Spencer Fisher,"$52,000 ",2011
405,Cole Miller,"$51,000 ",2011
406,Thiago Tavares,"$51,000 ",2011
407,Fabio Maldonado,"$50,000 ",2011
408,Matt Mitrione,"$50,000 ",2011
409,Daniel Roberts,"$48,000 ",2011
410,Dennis Bermudez,"$48,000 ",2011
411,Joey Beltran,"$48,000 ",2011
412,Cody McKenzie,"$46,000 ",2011
413,Dan Miller,"$46,000 ",2011
414,Chad Mendes,"$45,000 ",2011
415,Dennis Hallman,"$45,000 ",2011
416,Jason Miller,"$45,000 ",2011
417,Mark Bocek,"$45,000 ",2011
418,Yoshihiro Akiyama,"$45,000 ",2011
419,Pat Barry,"$44,000 ",2011
420,Rafael dos Anjos,"$44,000 ",2011
421,Demetrious Johnson,"$42,000 ",2011
422,Rory MacDonald,"$42,000 ",2011
423,C.B. Dolloway,"$40,000 ",2011
424,Charlie Brenneman,"$40,000 ",2011
425,Igor Pokrajac,"$40,000 ",2011
426,Michihiro Omigawa,"$40,000 ",2011
427,Nick Ring,"$40,000 ",2011
428,Shane Carwin,"$40,000 ",2011
429,Evan Dunham,"$39,000 ",2011
430,Allen Belcher,"$38,000 ",2011
431,Darren Elkins,"$38,000 ",2011
432,Dustin Poirier,"$38,000 ",2011
433,Jared Hamman,"$36,000 ",2011
434,Jorge Rivera,"$36,000 ",2011
435,Krzysztof Soszynski,"$36,000 ",2011
436,Manny Gamburyan,"$36,000 ",2011
437,Paul Taylor,"$36,000 ",2011
438,Paulo Thiago,"$36,000 ",2011
439,Waylon Lowe,"$36,000 ",2011
440,Ricardo Almeida,"$35,000 ",2011
441,Phil Davis,"$34,000 ",2011
442,Costas Philippou,"$33,000 ",2011
443,Alex Caceres,"$32,000 ",2011
444,Clay Harvison,"$32,000 ",2011
445,Duane Ludwig,"$32,000 ",2011
446,John Makdessi,"$32,000 ",2011
447,Justin Edwards,"$32,000 ",2011
448,Matt Brown,"$32,000 ",2011
449,Seth Baczynski,"$32,000 ",2011
450,Yves Jabouin,"$32,000 ",2011
451,Marcus Davis,"$31,000 ",2011
452,Shamar Bailey,"$30,400 ",2011
453,Anthony Pettis,"$30,000 ",2011
454,Court McGee,"$30,000 ",2011
455,George Sotiropoulos,"$30,000 ",2011
456,Hatsu Hioki,"$30,000 ",2011
457,Josh Grispi,"$30,000 ",2011
458,Norifumi Yamamoto,"$30,000 ",2011
459,Rani Yahya,"$30,000 ",2011
460,Anthony Perosh,"$28,000 ",2011
461,Jimy Hettes,"$28,000 ",2011
462,Josh Neer,"$28,000 ",2011
463,Mike Russow,"$28,000 ",2011
464,Ramsey Nijem,"$28,000 ",2011
465,Rousimar Palhares,"$28,000 ",2011
466,Brad Tavares,"$26,000 ",2011
467,George Roop,"$26,000 ",2011
468,Jason Brilz,"$26,000 ",2011
469,Javier Vazquez,"$26,000 ",2011
470,John Hathaway,"$26,000 ",2011
471,Kendall Grove,"$26,000 ",2011
472,Michael Johnson,"$26,000 ",2011
473,Eliot Marshall,"$25,000 ",2011
474,Kurt Pellegrino,"$25,000 ",2011
475,Phil Baroni,"$25,000 ",2011
476,Dongyi Yang,"$24,000 ",2011
477,Junior Assuncao,"$24,000 ",2011
478,Mike Massenzio,"$24,000 ",2011
479,Rich Attonito,"$24,000 ",2011
480,Robert Peralta,"$24,000 ",2011
481,Yusin Okami,"$23,000 ",2011
482,Alessio Sakara,"$21,000 ",2011
483,Chris Cariaso,"$20,000 ",2011
484,Eddie Wineland,"$20,000 ",2011
485,Ivan Menjivar,"$20,000 ",2011
486,Mackens Semerzier,"$20,000 ",2011
487,Ricardo Romero,"$20,000 ",2011
488,Steve Cantwell,"$20,000 ",2011
489,Aaron Rosa,"$18,000 ",2011
490,Christian Morecraft,"$18,000 ",2011
491,Claude Patrick,"$18,000 ",2011
492,Cole Escovedo,"$18,000 ",2011
493,Curt Warburton,"$18,000 ",2011
494,Cyrille Diabate,"$18,000 ",2011
495,James Te-Huna,"$18,000 ",2011
496,Vagner Rocha,"$18,000 ",2011
497,Bryan Caraway,"$16,000 ",2011
498,Chris Camozzi,"$16,000 ",2011
499,Chris Cope,"$16,000 ",2011
500,John Albert,"$16,000 ",2011
501,Johnny Bedford,"$16,000 ",2011
502,Marcus Brimage,"$16,000 ",2011
503,Paul Bradley,"$16,000 ",2011
504,Roland Delorme,"$16,000 ",2011
505,Ronny Markes,"$16,000 ",2011
506,Sean Pierson,"$16,000 ",2011
507,Steven Silver,"$16,000 ",2011
508,Antonio McKee,"$15,000 ",2011
509,Cub Swanson,"$15,000 ",2011
510,John Howard,"$15,000 ",2011
511,Jonathan Brookins,"$15,000 ",2011
512,Ken Stone,"$15,000 ",2011
513,Andre Winner,"$14,000 ",2011
514,Nick Catone,"$14,000 ",2011
515,Eric Schafer,"$13,000 ",2011
516,Chris Tuchsherer,"$12,000 ",2011
517,Clifford Starks,"$12,000 ",2011
518,Damacio Page,"$12,000 ",2011
519,Darren Uyenoyama,"$12,000 ",2011
520,Donny Walker,"$12,000 ",2011
521,Erick Silva,"$12,000 ",2011
522,Francis Carmont,"$12,000 ",2011
523,Iuri Alcanatra,"$12,000 ",2011
524,Jason Young,"$12,000 ",2011
525,Jeff Hougland,"$12,000 ",2011
526,Paul Sass,"$12,000 ",2011
527,Rafael Natal,"$12,000 ",2011
528,Rob Broughton,"$12,000 ",2011
529,Stanislov Nedkov,"$12,000 ",2011
530,Tom Lawlor,"$12,000 ",2011
531,Walel Watson,"$12,000 ",2011
532,Zhang Tie Quan,"$12,000 ",2011
533,Ian Loveland,"$11,000 ",2011
534,Aaron Riley,"$10,000 ",2011
535,Charlie Valencia,"$10,000 ",2011
536,Efrain Escudero,"$10,000 ",2011
537,Jason Reinhart,"$10,000 ",2011
538,Jon Madsen,"$10,000 ",2011
539,Karlos Vemola,"$10,000 ",2011
540,Kris McCray,"$10,000 ",2011
541,Mario Miranda,"$10,000 ",2011
542,Rafaello Oliveira,"$10,000 ",2011
543,Ryan Jensen,"$10,000 ",2011
544,Sean McCorkle,"$10,000 ",2011
545,Tim Credeur,"$10,000 ",2011
546,TJ Grant,"$10,000 ",2011
547,Antonio Banuelos,"$9,000 ",2011
548,Rob Kimmons,"$9,000 ",2011
549,Mike Easton,"$8,800 ",2011
550,Carlos Eduardo Rocha,"$8,000 ",2011
551,Chuck O’Neil,"$8,000 ",2011
552,Danny Downes,"$8,000 ",2011
553,Dustin Neace,"$8,000 ",2011
554,Dustin Pague,"$8,000 ",2011
555,Edward Faaloloto,"$8,000 ",2011
556,Greg Soto,"$8,000 ",2011
557,Jake Hecht,"$8,000 ",2011
558,Jeff Curran,"$8,000 ",2011
559,John Cholish,"$8,000 ",2011
560,John Maguire,"$8,000 ",2011
561,Josh Ferguson,"$8,000 ",2011
562,Kyle Watson,"$8,000 ",2011
563,Louis Gaudinot,"$8,000 ",2011
564,Mike Guymon,"$8,000 ",2011
565,Philip De Fries,"$8,000 ",2011
566,Ryan McGillivray,"$8,000 ",2011
567,Stephen Bass,"$8,000 ",2011
568,Stipe Miocic,"$8,000 ",2011
569,T.J. Dillashaw,"$8,000 ",2011
570,Nicholas Musoke,"$7,200 ",2011
571,Kamal Shalorus,"$7,000 ",2011
572,Matt Grice,"$7,000 ",2011
573,Tim Hague,"$7,000 ",2011
574,Alex Soto,"$6,000 ",2011
575,Amilcar Alves,"$6,000 ",2011
576,Dave Branch,"$6,000 ",2011
577,David Mitchell,"$6,000 ",2011
578,Dustin Jacoby,"$6,000 ",2011
579,Felipe Arantes,"$6,000 ",2011
580,James Head,"$6,000 ",2011
581,Jesse Bongfelt,"$6,000 ",2011
582,Johny Eduardo,"$6,000 ",2011
583,Josh Clopton,"$6,000 ",2011
584,Kenny Robertson,"$6,000 ",2011
585,Luis Ramos,"$6,000 ",2011
586,Matt Lucas,"$6,000 ",2011
587,T.J. O’Brien,"$6,000 ",2011
588,Todd Brown,"$6,000 ",2011
589,Willamy Freire,"$6,000 ",2011
590,Eddie Yagin,"$4,000 ",2011
591,Francisco Rivera,"$4,000 ",2011
592,Jorge Lopez,"$4,000 ",2011
593,Joseph Sandoval,"$4,000 ",2011
594,Keith Wisniewski,"$4,000 ",2011
595,Maciej Jewtuszko,"$4,000 ",2011
596,Mike Lullo,"$4,000 ",2011
597,Mike Stumpf,"$4,000 ",2011
598,Mitch Clarke,"$4,000 ",2011
599,Papy Abedi,"$4,000 ",2011
600,Riki Fukuda,"$4,000 ",2011
601,Tom Blackledge,"$4,000 ",2011
602,Vaughan Lee,"$4,000 ",2011
603,Will Campuzano,"$4,000 ",2011
604,Byron Bloodworth,"$3,200 ",2011
605,Jon Jones,"$865,000 ",2012
606,Rashad Evans,"$775,000 ",2012
607,Michael Bisping,"$700,000 ",2012
608,Hector Lombard,"$600,000 ",2012
609,Junior dos Santos,"$600,000 ",2012
610,Vitor Belfort,"$554,000 ",2012
611,Anderson Silva,"$475,000 ",2012
612,Antonio Rodrigo Nogueira,"$470,000 ",2012
613,Georges St-Pierre,"$470,000 ",2012
614,Mauricio Rua,"$415,000 ",2012
615,Cain Velasquez,"$400,000 ",2012
616,Forrest Griffin,"$350,000 ",2012
617,Cung Le,"$340,000 ",2012
618,Tito Ortiz,"$325,000 ",2012
619,Frankie Edgar,"$305,000 ",2012
620,Jim Miller,"$303,000 ",2012
621,Jake Shields,"$300,000 ",2012
622,Martin Kampmann,"$300,000 ",2012
623,Benson Henderson,"$299,000 ",2012
624,Rich Franklin,"$290,000 ",2012
625,Stefan Struve,"$286,000 ",2012
626,Melvin Guillard,"$285,600 ",2012
627,Fabricio Werdum,"$265,000 ",2012
628,Wanderlei Silva,"$265,000 ",2012
629,Joe Lauzon,"$264,000 ",2012
630,Takanori Gomi,"$260,000 ",2012
631,Demian Maia,"$252,000 ",2012
632,Scott Jorgensen,"$252,000 ",2012
633,Donald Cerrone,"$250,200 ",2012
634,Roy Nelson,"$243,000 ",2012
635,Mike Pyle,"$240,000 ",2012
636,Carlos Condit,"$237,000 ",2012
637,Jake Ellenberger,"$232,000 ",2012
638,Josh Koscheck,"$224,000 ",2012
639,Cub Swanson,"$221,000 ",2012
640,Lavar Johnson,"$220,000 ",2012
641,Cheick Kongo,"$210,000 ",2012
642,Thiago Silva,"$205,000 ",2012
643,Frank Mir,"$200,000 ",2012
644,Lyoto Machida,"$200,000 ",2012
645,Quinton Jackson,"$200,000 ",2012
646,Nate Diaz,"$197,000 ",2012
